factors,iterations,learning_rate,performance,regularization
525,700,0.0008,0.03511153497487256,0.0005
125,675,0.007,0.03631133406050607,0.0002
500,425,0.08,0.0408244837106882,0.0007
625,550,0.0007,0.03356167625567411,0.0009000000000000001
625,175,0.004,0.034584286283226746,0.0004
375,375,0.0008,0.017623115189581234,0.009000000000000001
100,200,0.00030000000000000003,0.012606888012472743,0.008
525,225,0.0001,0.03471649604205767,0.0004
200,525,0.0001,0.02925344988961062,0.03
550,475,0.0004,0.013663918781885092,0.007
50,225,0.07,0.035609390043459976,0.0007
425,100,0.006,0.001174371090148431,0.09
575,450,0.06,0.04342005189008057,0.05
475,225,0.002,0.033513819578207434,0.0009000000000000001
425,25,0.0001,0.030244858366079395,0.04
675,300,0.002,0.03501382177601577,0.005
650,475,0.00030000000000000003,0.011398858018046288,0.0004
200,575,0.004,0.04178488467261602,0.03
700,425,0.002,0.00390120157522409,0.08
675,25,0.04,0.007232571346450161,0.06
75,700,0.00030000000000000003,0.02303553713460259,0.0006000000000000001
575,675,0.007,0.03891814219965443,0.05
300,75,0.002,0.0014910232459963257,0.07
375,275,0.01,0.04394470465462244,0.01
725,200,0.0007,0.005953280782242398,0.03
250,650,0.009000000000000001,0.03840761145816843,0.0006000000000000001
350,675,0.0006000000000000001,0.03368120032674208,0.001
350,275,0.0006000000000000001,0.006922685385269682,0.00030000000000000003
650,75,0.07,0.043523202679740206,0.007
175,250,0.0006000000000000001,0.0047034082908307415,0.08
75,650,0.0001,0.03113122180371084,0.01
650,650,0.0002,0.02241398462646987,0.0005
275,600,0.01,0.03770039346683244,0.0004
225,525,0.009000000000000001,0.04492627219595124,0.006
525,475,0.07,0.0552097984532093,0.008
250,100,0.0008,0.0029537459483643183,0.09
150,25,0.0004,0.0202399178991521,0.007
25,325,0.0007,0.018389444573291145,0.006
500,400,0.08,0.03915127512453253,0.0005
250,700,0.0007,0.03311245471899824,0.01
300,425,0.0004,0.0050982515771566235,0.005
225,650,0.008,0.04334565911941015,0.004
725,425,0.04,0.05216249101336586,0.009000000000000001
400,600,0.04,0.02685330184658978,0.09
325,675,0.01,0.0381595852574282,0.0005
250,650,0.0005,0.0325038222947935,0.0004
275,350,0.0005,0.004597464462302468,0.004
500,625,0.02,0.05123917961281519,0.009000000000000001
575,250,0.0009000000000000001,0.0019256434688980325,0.09
400,100,0.01,0.03611592464624842,0.009000000000000001
250,750,0.002,0.03575610228804019,0.002
25,750,0.007,0.03410429330038317,0.0009000000000000001
725,425,0.005,0.03867217252536126,0.005
675,300,0.0004,0.017678074601039526,0.02
425,625,0.05,0.05168165860389345,0.004
125,700,0.00030000000000000003,0.012903728357966845,0.03
125,450,0.004,0.019259501692075902,0.09
525,700,0.003,0.021177326241967144,0.08
