feature,importance
item_appearance_q3,0.0629618837631957
item_appearance_q2,0.05721396936560025
seconds_diff_min,0.03997785256981847
seconds_diff_max,0.03453779851321678
g_depth_2_density_1,0.031038711023182643
g_depth_3_density_2,0.03094150911573295
users_sharing_10%+,0.03056715618243704
ds_price_q1,0.030098789388801995
seconds_diff_q2,0.029608813233775254
g_depth_3_edges_0,0.029360832365879753
seconds_diff_q3,0.02913214503776151
g_depth_3_edges_2,0.028742884164638306
g_depth_3_vertices,0.028016483065255723
g_depth_3_edges_1,0.027705959386498478
ds_price_max,0.02624637521009729
users_sharing_2,0.02605346491958481
ds_price_min,0.025604232986476117
users_sharing_1+,0.024422673208107537
g_depth_3_possible_edges_2,0.02357797622878875
g_depth_2_vertices,0.023150163813756612
g_depth_3_possible_edges_1,0.022896306283088825
g_depth_2_possible_edges_1,0.022472428382574506
g_depth_2_possible_edges_0,0.02181568423398859
g_depth_2_edges_0,0.02138640860534943
users_sharing_3+,0.01589234078011875
ds_brand_price_level_top_count_normalized,0.015197310768451853
ds_color_top_count_normalized,0.015180456826608502
ds_category3_top_count,0.014269519086829663
ds_category3_top_count_normalized,0.014061059894291357
users_sharing_100%+,0.01404414998566381
unique_items,0.013723998630925948
users_sharing_3,0.013421005556470406
users_sharing_90%+,0.013285306944621917
ds_category4_top_count_normalized,0.013150167596495795
ds_category_last_top_count_normalized,0.01263197875588711
ds_category_last_top_count,0.012202605737115225
ds_category_full_top_count,0.011955237835541173
ds_category_full_top_count_normalized,0.011803207101389985
ds_category4_top_count,0.011727012122849427
ds_gender_top_count_normalized,0.009869350926753557
ds_brand_nunique,0.009835159962666479
users_sharing_4,0.0092607351670484
ds_category_full_nunique,0.008634609098898023
ds_category_last_nunique,0.007908369763512519
ds_category1_top_count_normalized,0.007744936628589457
ds_category4_nunique,0.0065696039647174555
users_sharing_5,0.004232401677024847
users_sharing_7+,0.00223803178243785
ds_category1_nunique,0.0018345797427838733
users_sharing_7,0.0014472000928485043
users_sharing_9,0.00034916252185076115
