feature,importance
item_appearance_mean,0.10420757042666301
item_appearance_q3,0.09186075574369959
item_appearance_q2,0.06729240453862549
item_appearance_q1,0.05535167849915971
g_depth_3_edges_2,0.036726806905796015
users_sharing_1,0.036384551170743615
seconds_diff_q1,0.03313003996348574
g_depth_2_vertices,0.03274911209867967
seconds_diff_mean,0.032556031017347276
users_sharing_2,0.032250096466598176
users_sharing_2+,0.03213437378823819
g_depth_3_vertices,0.031916623858136754
g_depth_3_possible_edges_2,0.030772064396065092
g_depth_3_density_2,0.030193756268967517
seconds_diff_q2,0.028343162558515347
users_sharing_1+,0.027629793228183916
g_depth_2_possible_edges_0,0.02756288649210264
ds_gender_top_count,0.025026331065980265
ds_price_min,0.02493627204774775
users_sharing_100%+,0.024140299524918096
users_sharing_60%+,0.022711321115118713
ds_category_full_top_count,0.021567517208627058
users_sharing_90%+,0.017386786979084332
ds_category4_top_count,0.01714524071076947
users_sharing_3,0.016761330997180815
ds_category_full_top_count_normalized,0.012820883464045018
ds_brand_nunique,0.012627577286472767
ds_category3_top_count_normalized,0.011521074304060862
ds_category4_top_count_normalized,0.010927975346368366
ds_category3_nunique,0.00986790609688264
ds_category2_top_count_normalized,0.009841398528652344
ds_category1_top_count_normalized,0.009511556636227042
users_sharing_4+,0.009112215694417258
users_sharing_6+,0.0033758310285260423
ds_brand_price_level_nunique,0.003015955375948234
users_sharing_7+,0.001554518054768077
users_sharing_7,0.0013713191709379918
ds_gender_nunique,0.0011529995685151159
users_sharing_9+,0.0008014783108893058
users_sharing_10,0.0006760801440522334
users_sharing_8,0.0005773786601718772
users_sharing_10+,0.000507045258630425
