feature,importance
item_appearance_mean,0.057786805243645906
item_appearance_q3,0.05719020714113493
seconds_diff_min,0.04483422916806801
item_appearance_q1,0.04353787228800158
item_appearance_max,0.04059871633157323
seconds_diff_mean,0.03938923790869452
seconds_diff_q3,0.03704133704239742
g_depth_3_density_0,0.03591014595410087
item_appearance_min,0.03362183502677728
g_depth_3_vertices,0.03208154823640894
g_depth_2_density_0,0.031608287137002436
g_depth_3_edges_0,0.0312735066222482
g_depth_3_edges_1,0.031145073865761482
users_sharing_20%+,0.028356025417773465
g_depth_3_possible_edges_1,0.027997793046095853
g_depth_3_possible_edges_2,0.02774230468443329
g_depth_2_vertices,0.02658395603599794
users_sharing_1+,0.026309427349361047
users_sharing_40%+,0.02571724006567547
g_depth_2_edges_0,0.024540577287411745
g_depth_2_edges_1,0.02416439601308241
users_sharing_50%+,0.020662655644195883
users_sharing_3+,0.01973445309779127
users_sharing_3,0.018877899885919452
ds_category4_top_count_normalized,0.0188219563414831
ds_category_full_top_count_normalized,0.018473464625992853
ds_category3_top_count,0.017773456537749435
users_sharing_60%+,0.015795426650303698
unique_items,0.015083726888828983
ds_brand_price_level_top_count,0.014711557533288625
ds_category4_top_count,0.013758782185185212
ds_color_top_count,0.01299687615020743
ds_brand_nunique,0.01108588821890434
ds_color_nunique,0.010943330811874994
ds_brand_top_count,0.010589033484859608
ds_category_full_nunique,0.009130795018905277
ds_gender_top_count_normalized,0.008926047806422715
ds_category1_top_count_normalized,0.008836009006905123
ds_category4_nunique,0.008708722866214822
users_sharing_5,0.006415967562894902
users_sharing_6,0.004015001240327596
users_sharing_7+,0.0024165274125262054
ds_category1_nunique,0.0019672070279723513
users_sharing_8+,0.001225206989877777
users_sharing_8,0.0007159619124762591
users_sharing_10+,0.000509672880545153
users_sharing_10,0.0003938503527008581
