feature,importance
item_appearance_mean,0.07121606788736756
item_appearance_q1,0.04784566293141126
seconds_diff_q1,0.03579340062739088
g_depth_3_edges_0,0.03470181079055409
g_depth_3_density_0,0.032292038139043376
item_appearance_min,0.03212091661637149
seconds_diff_max,0.031475263661345905
g_depth_3_vertices,0.031133572474141197
g_depth_3_possible_edges_0,0.03109097582519338
g_depth_3_density_2,0.030824925152489437
seconds_diff_q3,0.030806552054142573
users_sharing_1+,0.02914185952231887
users_sharing_10%+,0.029113383144136203
users_sharing_20%+,0.02818491681763396
ds_price_mean,0.026809734178032295
g_depth_2_density_1,0.02656350008845229
ds_price_q3,0.02616208548818032
users_sharing_40%+,0.02609284244814332
g_depth_2_edges_1,0.0253330048348031
g_depth_2_possible_edges_0,0.02421099279077326
users_sharing_2,0.024007426363875265
users_sharing_2+,0.023309307868764048
ds_price_max,0.023208849462702998
users_sharing_50%+,0.02295098748788318
users_sharing_60%+,0.016249004279027746
ds_category3_top_count,0.015313834961788515
ds_category1_top_count,0.014666120547857335
users_sharing_3+,0.01404167653269343
ds_category_full_top_count_normalized,0.01342851229918564
unique_items,0.013119530819692032
users_sharing_90%+,0.012965164307674292
ds_category3_top_count_normalized,0.012640547016604801
ds_brand_price_level_top_count_normalized,0.012585038373990253
ds_category4_top_count_normalized,0.01245629095390284
ds_category2_top_count,0.011817254592317994
users_sharing_80%+,0.011742575860781574
ds_category4_top_count,0.010796513182771032
ds_category2_top_count_normalized,0.010434637837486606
ds_brand_top_count_normalized,0.009920528744124732
ds_brand_nunique,0.008617032388497892
ds_brand_top_count,0.00839320516739031
users_sharing_4,0.008185292955628521
ds_gender_top_count_normalized,0.007687693448137162
users_sharing_4+,0.007620480902697989
ds_category4_nunique,0.006180529665770416
users_sharing_5,0.003372915182223813
users_sharing_6+,0.0027156452023970527
users_sharing_6,0.0025351132418126713
ds_gender_nunique,0.0018252374075718733
users_sharing_7+,0.001464251036979837
users_sharing_7,0.0012711359564093227
users_sharing_8+,0.0010746324997703118
users_sharing_8,0.0008853726448797212
users_sharing_9+,0.0006705263199301868
users_sharing_10+,0.0004687382671070027
users_sharing_10,0.0004648907477468308
