feature,importance
item_appearance_mean,0.02800270442158042
item_appearance_q3,0.027042111162990004
item_appearance_q1,0.025388837658892816
seconds_diff_q3,0.022181729003414356
seconds_diff_min,0.02189571290677892
seconds_diff_q1,0.02154304006531192
item_appearance_min,0.020593593345990716
seconds_diff_mean,0.020189783050961037
item_appearance_max,0.020157706432269065
item_appearance_q2,0.02011043754349794
ds_price_mean,0.019825046515505894
seconds_diff_q2,0.019220304289151877
seconds_diff_max,0.018529669738592117
ds_price_q3,0.01838832279432017
g_depth_3_density_1,0.018050926551137377
g_depth_3_density_0,0.01798398687034084
g_depth_3_density_2,0.017398862394157655
ds_price_q2,0.01686436675688695
ds_price_max,0.015924211528798873
g_depth_3_edges_1,0.015819541771715257
ds_price_q1,0.015779272362742267
g_depth_3_edges_0,0.015403680959836314
g_depth_3_edges_2,0.015221778316382854
users_sharing_10%+,0.015207911191612274
g_depth_3_vertices,0.015188003283280665
users_sharing_30%+,0.015098307881986638
ds_price_min,0.01493069668569667
g_depth_2_density_0,0.014436500449398964
users_sharing_2+,0.01429022123801322
users_sharing_40%+,0.014263339323075488
g_depth_3_possible_edges_1,0.01420997128937851
g_depth_2_density_1,0.0141730828743674
users_sharing_2,0.01412777527625003
users_sharing_20%+,0.01405907855771422
g_depth_3_possible_edges_0,0.01400611319240632
users_sharing_1,0.01383299248368393
users_sharing_1+,0.012510661481203968
g_depth_2_edges_1,0.012164445667156463
g_depth_2_edges_0,0.011833886213866076
g_depth_2_possible_edges_1,0.01168546476155556
users_sharing_50%+,0.011167174455398807
g_depth_2_possible_edges_0,0.011137974803459023
g_depth_3_possible_edges_2,0.011127362570978778
g_depth_2_vertices,0.010524753870831191
ds_brand_price_level_top_count_normalized,0.009293045126845131
ds_color_top_count_normalized,0.009236775981215146
ds_brand_top_count_normalized,0.009229378410614934
ds_category3_top_count_normalized,0.009194882401357853
ds_category_last_top_count_normalized,0.009098737723697693
users_sharing_60%+,0.008786339673185178
ds_category2_top_count_normalized,0.008710340466613635
users_sharing_3+,0.008572395424365971
ds_category_full_top_count_normalized,0.008000715688144552
users_sharing_70%+,0.00797006830640408
ds_category2_top_count,0.007757358159975149
ds_category4_top_count_normalized,0.007704078798178606
users_sharing_3,0.007496746552927995
ds_category3_top_count,0.00748928952508306
ds_brand_price_level_top_count,0.007399846778114168
ds_category4_top_count,0.007100413002494492
users_sharing_90%+,0.006920457980583128
users_sharing_100%+,0.006729370131476739
ds_category1_top_count,0.0064844258235460086
users_sharing_4+,0.006406215944655179
ds_brand_nunique,0.0063342577181878645
users_sharing_4,0.006064195449234589
users_sharing_80%+,0.00596853312911063
unique_items,0.005710547984402662
ds_category_last_top_count,0.00566336159075472
ds_brand_top_count,0.005654268401048977
ds_category_full_top_count,0.005650030475763073
ds_gender_top_count,0.0056154183282254196
ds_color_nunique,0.005490175994196395
ds_color_top_count,0.005234547068854697
ds_gender_top_count_normalized,0.004984050542503581
ds_category4_nunique,0.0049067646108746895
ds_category_full_nunique,0.0045940069752463
ds_category_last_nunique,0.0045228797276511586
ds_category1_top_count_normalized,0.00439169915713113
ds_category3_nunique,0.0037661382757416912
users_sharing_5+,0.00344130194357018
ds_category2_nunique,0.0032763833553977563
users_sharing_5,0.0027537494803867666
ds_brand_price_level_nunique,0.0025798982834733604
users_sharing_6+,0.0023639381903961666
users_sharing_7+,0.0015305417988738998
users_sharing_7,0.001303007096430264
ds_gender_nunique,0.0012963457335919296
ds_category1_nunique,0.0012145170932525333
users_sharing_6,0.001159682020473647
users_sharing_8,0.0009745155970633183
users_sharing_8+,0.0008707444631541055
users_sharing_9,0.00053506072843438
users_sharing_10,0.000378409340827646
users_sharing_9+,0.00037207648657279095
users_sharing_10+,0.00032672706712513446
