agg_strategy,metric,n_neighbors,performance
min,euclidean,101,0.0013673623120023899
min,cosine,101,0.019097842153757205
max,euclidean,176,0.001416431498483633
max,cosine,131,0.014520477148180274
max,euclidean,141,0.0013952245398608466
mean,euclidean,139,0.0013118565262488944
max,cosine,171,0.014072792254406727
mean,euclidean,188,0.0013602655054306407
