factors,iterations,learning_rate,performance,regularization
400,625,0.07,0.02509174072929257,0.0002
25,25,0.00030000000000000003,0.0031669885149158473,0.008
625,225,0.02,0.021199922141502948,0.06
125,150,0.0006000000000000001,0.0018126512067980316,0.0004
700,100,0.03,0.021181673552562893,0.04
425,425,0.001,0.004796518679410329,0.00030000000000000003
500,550,0.004,0.015101462107387524,0.07
75,400,0.00030000000000000003,0.001176554169912482,0.001
100,150,0.00030000000000000003,0.004138914321571059,0.008
400,100,0.05,0.02636930938628268,0.005
700,75,0.0001,0.00812530447674222,0.0009000000000000001
500,300,0.0008,0.0010562359470440274,0.001
575,25,0.0004,0.005414864165363116,0.002
500,450,0.03,0.024722940934190314,0.06
325,25,0.07,0.020717141791198893,0.0001
700,450,0.00030000000000000003,0.0019727460129699815,0.002
175,225,0.0009000000000000001,0.0012902805587692602,0.0006000000000000001
500,525,0.06,0.03292023927949188,0.008
50,375,0.02,0.025685708698605567,0.04
600,650,0.06,0.02789721530574084,0.0008
525,700,0.08,0.024851794037150064,0.0001
575,725,0.0006000000000000001,0.0012497967179156018,0.03
450,375,0.01,0.026851287288499028,0.008
625,75,0.001,0.002061251793060956,0.0008
525,750,0.0006000000000000001,0.000627239956143302,0.02
700,225,0.006,0.01648536540773839,0.03
350,50,0.07,0.022757161093157518,0.0007
275,300,0.00030000000000000003,0.0024690256838724857,0.0009000000000000001
600,400,0.005,0.024360290029270787,0.0001
125,525,0.0004,0.0008781198000271456,0.0006000000000000001
100,725,0.0004,0.0015104427229079324,0.007
500,250,0.002,0.0040118769916235005,0.007
350,425,0.0002,0.0024979444283439577,0.0009000000000000001
200,700,0.006,0.025508337754862425,0.0008
525,250,0.0005,0.0014110942348947303,0.006
25,50,0.0004,0.002652511202107749,0.0002
350,250,0.04,0.016455899687740014,0.09
475,125,0.0001,0.0078688440490814,0.003
325,475,0.003,0.022392266119268808,0.007
400,275,0.05,0.02652920867126084,0.001
300,425,0.003,0.022633752235817754,0.0008
150,725,0.05,0.032531154412817134,0.008
500,725,0.08,0.030947849506718826,0.002
625,600,0.07,0.03021262833497458,0.002
500,375,0.01,0.021970629754048742,0.06
600,675,0.003,0.023287520353032106,0.003
50,175,0.008,0.021773621808737785,0.008
400,450,0.0001,0.0044747061430618065,0.007
725,200,0.06,0.02799203165496911,0.004
