factors,iterations,performance,regularization
175,75,0.024856798010953692,0.05
375,150,0.02699354401452541,0.07
100,400,0.02284644781993423,0.006
600,525,0.027595148737426425,0.00030000000000000003
325,450,0.026592938802127836,0.06
300,475,0.02624766985119299,0.02
675,150,0.02760340468530476,0.07
575,100,0.027552142274301836,0.01
525,675,0.02753879369937954,0.0002
